City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
234,Kushmurun,KZ,2022-06-06 17:20:45,52.4503,64.6311,66.79,45,100,8.32
235,Shahr-E Babak,IR,2022-06-06 17:20:45,30.1165,55.1186,79.34,14,3,10.22
236,Portland,US,2022-06-06 17:16:59,45.5234,-122.6762,64.2,71,20,5.75
237,Gigmoto,PH,2022-06-06 17:20:45,13.7796,124.39,80.91,83,21,6.58
238,Sibolga,ID,2022-06-06 17:20:46,1.7427,98.7792,75.9,91,77,3.89
239,Gornyy,RU,2022-06-06 17:20:46,55.1153,83.9059,43.65,69,99,6.04
240,Batouri,CM,2022-06-06 17:20:47,4.4333,14.3667,72.39,85,96,0.87
241,Kupino,RU,2022-06-06 17:20:47,54.3663,77.2981,55.71,48,100,7.63
242,Harper,LR,2022-06-06 17:20:47,4.375,-7.7169,79.23,84,100,7.92
243,Mohanur,IN,2022-06-06 17:20:47,11.0833,78.1667,83.12,69,92,5.73
244,Cozumel,MX,2022-06-06 17:16:15,20.5083,-86.9458,87.94,76,40,8.05
245,Bambous Virieux,MU,2022-06-06 17:20:48,-20.3428,57.7575,71.85,83,40,2.3
246,College,US,2022-06-06 17:20:48,64.8569,-147.8028,63.09,39,20,4.61
247,Upernavik,GL,2022-06-06 17:20:49,72.7868,-56.1549,30.67,68,11,9.75
248,Coihaique,CL,2022-06-06 17:20:50,-45.5752,-72.0662,44.55,57,40,11.5
249,Lorengau,PG,2022-06-06 17:20:50,-2.0226,147.2712,80.53,78,79,4.79
250,Hauterive,FR,2022-06-06 17:20:51,46.0901,3.4459,70.56,74,99,2.59
251,Orlik,RU,2022-06-06 17:20:51,52.5178,99.825,43.09,80,100,3.8
252,Kadoshkino,RU,2022-06-06 17:20:51,54.0257,44.4191,55.49,91,15,8.86
253,Kempsey,AU,2022-06-06 17:20:52,-31.0833,152.8333,40.95,89,1,1.99
254,Chernyshevskiy,RU,2022-06-06 17:20:52,63.0128,112.4714,44.28,82,5,3.42
255,Vanersborg,SE,2022-06-06 17:20:53,58.3807,12.3234,69.75,49,100,12.66
256,Virginia Beach,US,2022-06-06 17:18:58,36.8529,-75.978,82.04,59,0,10.36
257,Altay,CN,2022-06-06 17:20:53,47.8667,88.1167,52.77,63,92,1.05
258,Honiara,SB,2022-06-06 17:20:53,-9.4333,159.95,75.54,86,30,5.7
259,Lerwick,GB,2022-06-06 17:20:54,60.1545,-1.1494,53.6,80,31,10.71
260,Woodward,US,2022-06-06 17:20:54,36.4337,-99.3904,83.43,61,0,0.0
261,Muravlenko,RU,2022-06-06 17:20:54,63.7898,74.523,43.12,64,99,7.56
262,Alekseyevsk,RU,2022-06-06 17:20:55,57.8406,108.3492,56.57,70,87,4.88
263,Vierzon,FR,2022-06-06 17:20:55,47.2101,2.0625,65.86,87,96,7.54
264,Alacranes,CU,2022-06-06 17:20:56,22.7675,-81.5675,81.09,71,62,9.48
265,Hamilton,US,2022-06-06 17:17:46,39.1834,-84.5333,77.77,85,75,11.5
266,Sanary-Sur-Mer,FR,2022-06-06 17:20:56,43.1178,5.8001,90.86,74,20,5.01
267,Novovasylivka,UA,2022-06-06 17:20:56,46.8315,35.7536,70.75,48,100,11.86
268,Menongue,AO,2022-06-06 17:20:57,-14.6585,17.691,58.19,44,99,5.39
269,Tiksi,RU,2022-06-06 17:20:57,71.6872,128.8694,36.09,96,100,4.36
270,Sao Filipe,CV,2022-06-06 17:20:57,14.8961,-24.4956,76.48,73,1,10.29
271,Kanniyakumari,IN,2022-06-06 17:20:58,8.0833,77.5667,80.02,85,100,16.67
272,Cananeia,BR,2022-06-06 17:20:58,-25.0147,-47.9267,73.89,68,100,3.36
273,Quatre Cocos,MU,2022-06-06 17:20:58,-20.2078,57.7625,71.71,77,9,12.66
274,Klaksvik,FO,2022-06-06 17:20:59,62.2266,-6.589,56.32,92,78,7.99
275,Lac-Megantic,CA,2022-06-06 17:20:59,45.5834,-70.8823,62.56,43,29,6.98
276,Harare,ZW,2022-06-06 17:16:19,-17.8294,31.0539,51.55,80,5,12.15
277,Tuatapere,NZ,2022-06-06 17:21:00,-46.1333,167.6833,46.65,80,100,6.71
278,Palimbang,PH,2022-06-06 17:21:00,6.2106,124.1894,78.51,86,99,6.02
279,Lazaro Cardenas,MX,2022-06-06 17:22:00,17.9583,-102.2,84.52,59,23,7.7
280,Olafsvik,IS,2022-06-06 17:22:01,64.8945,-23.7142,47.32,60,100,9.6
281,Buraydah,SA,2022-06-06 17:22:01,26.326,43.975,99.05,5,1,7.23
282,Port Elizabeth,ZA,2022-06-06 17:22:01,-33.918,25.5701,66.31,54,3,5.75
283,Kaitangata,NZ,2022-06-06 17:22:02,-46.2817,169.8464,46.89,77,53,4.63
284,Bengkulu,ID,2022-06-06 17:22:02,-3.8004,102.2655,76.01,91,100,4.09
285,Sovetskoye,RU,2022-06-06 17:22:02,52.2861,85.4131,43.48,82,8,4.79
286,Lakes Entrance,AU,2022-06-06 17:22:03,-37.8811,147.981,40.15,71,48,15.43
287,Amuntai,ID,2022-06-06 17:22:03,-2.4177,115.2494,73.31,98,44,0.6
288,Washington,US,2022-06-06 17:21:52,47.5001,-120.5015,62.78,44,1,6.46
289,Damaturu,NG,2022-06-06 17:22:04,11.747,11.9608,88.39,38,99,11.16
290,Taga,RO,2022-06-06 17:22:04,46.95,24.05,75.52,71,4,5.61
291,Yerbogachen,RU,2022-06-06 17:22:04,61.2767,108.0108,48.22,70,48,4.65
292,Kieta,PG,2022-06-06 17:22:05,-6.2167,155.6333,78.93,84,95,5.79
293,Meadow Lake,US,2022-06-06 17:22:05,34.8014,-106.5436,86.92,20,26,5.5
