City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
237,Tuatapere,NZ,-46.1333,167.6833,45.64,90,13,6.73,few clouds
238,Oildale,US,35.4197,-119.0195,66.22,51,0,3.44,clear sky
239,Lichinga,MZ,-13.3128,35.2406,64.49,68,75,6.91,broken clouds
240,Kiunga,PG,-6.1219,141.2906,75.7,93,98,0.81,overcast clouds
241,Banepa,NP,27.6298,85.5214,75.52,83,75,5.75,broken clouds
242,Sambava,MG,-14.2667,50.1667,76.6,75,12,15.48,light rain
243,Balezino,RU,57.9796,53.0106,51.55,95,100,19.75,overcast clouds
244,Teofilo Otoni,BR,-17.8575,-41.5053,75.38,45,9,3.15,clear sky
245,Tadine,NC,-21.55,167.8833,72.25,82,100,9.44,overcast clouds
246,Nushki,PK,29.5542,66.0215,95.99,4,0,8.84,clear sky
247,Emerald,AU,-23.5333,148.1667,54.34,78,97,7.27,overcast clouds
248,High Rock,BS,26.6208,-78.2833,78.82,80,100,15.73,overcast clouds
249,San Patricio,US,28.017,-97.5169,82.29,74,2,15.3,clear sky
250,Carnarvon,AU,-24.8667,113.6333,74.82,65,97,18.95,overcast clouds
251,Kapoeta,SS,4.7717,33.5903,83.93,47,92,10.4,light rain
252,Kinna,SE,57.5073,12.6946,70.75,41,100,7.87,overcast clouds
253,Laela,TZ,-8.5667,32.05,70.27,43,99,6.55,overcast clouds
254,Bambous Virieux,MU,-20.3428,57.7575,76.21,78,40,9.22,light rain
255,Abu Samrah,SY,35.3029,37.1841,89.78,29,7,17.34,clear sky
256,Port Hardy,CA,50.6996,-127.4199,48.2,100,75,2.3,broken clouds
257,Vuktyl,RU,63.8567,57.3094,71.08,22,5,9.93,clear sky
258,Jasper,US,37.2001,-94.3502,73.11,93,75,4.0,broken clouds
259,Raga,SS,8.4596,25.678,100.06,23,61,2.59,broken clouds
260,Illela,NG,13.7292,5.2975,97.54,27,94,7.05,overcast clouds
261,Jiwani,PK,25.05,61.7417,84.33,76,0,15.95,clear sky
262,Asau,RO,46.4333,26.4,78.28,39,86,7.87,overcast clouds
263,Noumea,NC,-22.2763,166.4572,75.99,99,100,7.38,overcast clouds
264,Puerto Del Rosario,ES,28.5004,-13.8627,76.75,65,20,14.97,few clouds
265,Aykhal,RU,66.0,111.5,59.77,47,9,8.39,clear sky
266,Winnemucca,US,40.973,-117.7357,44.65,76,0,0.0,clear sky
